Tumtum | Hecuba | The bend in the trail in the dwarf forest | Fri Oct 25 08:40:56 2002
Jimbo | Jimbo | Kitiara's Seat | Sat Jan  4 22:15:35 2003
Jimbo | Allanon | By the Temple Altar | Sat Jan  4 22:18:52 2003
Jimbo | Allanon | By the Temple Altar | Sat Jan  4 22:33:01 2003
Jimbo | Jimbo | A Guest Room | Sat Jan  4 22:38:54 2003
Allanon | Alctinco | Fourth Level | Sat Jan  4 22:42:31 2003
Jimbo | Alctinco | Entrance to Mud School | Sat Jan  4 22:47:22 2003
Maryjane | Baelnor | Steep slope | Sun Jan  5 00:54:59 2003
Meurk | Kraerox | Outside the Tower | Sun Jan  5 14:27:11 2003
Adrosener | Kraerox | By the Temple Altar | Sun Jan  5 14:44:13 2003
Gringo | Kraerox | The Temple Square | Sun Jan  5 15:59:46 2003
Shank | Thrawn | The Temple Of Mota | Sun Jan  5 17:18:44 2003
Ventril | Kraerox | The Temple Of Mota | Sun Jan  5 17:18:45 2003
Thrawn | Kraerox | The Temple Of Mota | Sun Jan  5 17:18:48 2003
Thrawn | Kraerox | The Temple Of Mota | Sun Jan  5 17:22:05 2003
Ventril | Kraerox | The Temple Square | Sun Jan  5 17:22:38 2003
Thrawn | Kraerox | Altar of the Damned | Sun Jan  5 17:31:11 2003
Thrawn | Marcus | The Mouth of a Cave | Sun Jan  5 17:32:20 2003
Shank | Kaerk | The Mouth of a Cave | Sun Jan  5 17:32:26 2003
Thrawn | Kraerox | The Mouth of a Cave | Sun Jan  5 17:33:27 2003
Sativa | Vhazaraag | A turn in the hall | Sun Jan  5 18:49:01 2003
AntiDrow | Lanceweiser | By the Temple Altar | Mon Jan  6 12:05:41 2003
Kelaheobr | Alctinco | Inside the Observatory | Mon Jan  6 17:30:20 2003
Kelaheobr | Vhazaraag | By the Temple Altar | Mon Jan  6 17:50:04 2003
Wigga | Bremm | By the Temple Altar | Mon Jan  6 18:14:39 2003
Maelstrom | Kaerk | Inside the Temple | Mon Jan  6 23:57:21 2003
Kydan | Aelhor | Tower Road | Tue Jan  7 01:02:51 2003
Kydan | Aelhor | By the Temple Altar | Tue Jan  7 01:34:57 2003
Telmir | Maryjane | By the Temple Altar | Tue Jan  7 01:46:28 2003
Aelhor | Telmir | The Altar Room | Tue Jan  7 04:30:20 2003
Aelhor | Alctinco | A path through the Mountains of Dhoom | Tue Jan  7 17:30:06 2003
Vhazaraag | Wigga | At a muddy track | Tue Jan  7 17:59:15 2003
Viscious | Lynthic | A valley in the dark dwarf forest | Tue Jan  7 18:11:11 2003
Viscious | Dalton | Wall Road | Tue Jan  7 18:30:37 2003
Rithgar | Marcus | Outside the East Gate of Midgaard | Tue Jan  7 19:30:42 2003
Xarius | Marcus | A hallway in the castle | Tue Jan  7 19:40:49 2003
Aelhor | Vhazaraag | A landing | Tue Jan  7 21:23:12 2003
Lynthic | Vhazaraag | Archway before the Temple of Chaos | Tue Jan  7 21:27:52 2003
Thrawn | Ioberai | Outside the East Gate of Midgaard | Wed Jan  8 13:08:50 2003
Stanton | Kraid | By the Temple Altar | Wed Jan  8 17:04:11 2003
Rithgar | Desciple | Small path in the park | Wed Jan  8 18:37:17 2003
Medivh | Dresith | The Cross Roads | Wed Jan  8 19:26:53 2003
Desciple | Dresith | Entering the village | Wed Jan  8 19:30:47 2003
Medivh | Dresith | At a muddy track | Wed Jan  8 19:36:40 2003
Jakith | Vhazaraag | A valley in the dark dwarf forest | Wed Jan  8 21:40:28 2003
Yuvien | Vhenkamta | On the Bridge | Wed Jan  8 22:23:10 2003
Thrawn | Vhazaraag | A House | Wed Jan  8 22:32:13 2003
Vhazaraag | Thrawn | Cave Entrance | Wed Jan  8 22:40:34 2003
Harman | Vhenkamta | At a muddy track | Wed Jan  8 22:54:56 2003
Harman | Vhenkamta | Market Square | Wed Jan  8 22:59:42 2003
Harman | Yuvien | The Mouth of a Cave | Wed Jan  8 23:12:17 2003
Vhenkamta | Teryx | Fourth Level | Wed Jan  8 23:42:37 2003
Harman | Teryx | Western Summoning Chamber | Wed Jan  8 23:51:54 2003
Korid | Dresith | Inside the East Gate of Midgaard | Thu Jan  9 16:53:48 2003
Harman | Thrawn | The Temple Square | Thu Jan  9 20:31:54 2003
Jakith | Kraerox | Outside the East Gate of Midgaard | Thu Jan  9 20:32:56 2003
Ridley | Kraerox | An ancient dining hall | Thu Jan  9 20:34:33 2003
Harman | Kraerox | Inside the East Gate of Midgaard | Thu Jan  9 20:36:28 2003
Jakith | Kaerk | The Cross Roads | Thu Jan  9 20:41:05 2003
Harman | Kaerk | The Cross Roads | Thu Jan  9 20:43:14 2003
Harman | Kaerk | The Main Street | Thu Jan  9 20:47:41 2003
Harman | Kraerox | At a muddy track | Thu Jan  9 20:51:29 2003
Niggerbeater | Kraerox | Outside the East Gate of Midgaard | Thu Jan  9 21:29:31 2003
Lyric | Tertalith | The Main Street | Thu Jan  9 21:42:31 2003
Teiratiz | Tertalith | A small ugly cave | Thu Jan  9 21:45:29 2003
Teiratiz | Thrawn | Sultan's Walk | Thu Jan  9 22:02:38 2003
Tertalith | Thrawn | The Temple Square | Thu Jan  9 22:05:11 2003
Lyric | Ethel | A small ugly cave | Thu Jan  9 22:19:13 2003
Hvetlin | Ethel | The Dracolich's Lair | Fri Jan 10 00:01:59 2003
Teiratiz | Kelaheobr | The sewer junction | Fri Jan 10 00:29:13 2003
Teiratiz | Teryx | The Grand Sewer | Fri Jan 10 04:08:26 2003
Vhazaraag | Teryx | Cave Entrance | Fri Jan 10 05:14:21 2003
Lyric | Thrawn | In the air... | Fri Jan 10 18:35:05 2003
Scrotum | Garaen | The Temple Square | Fri Jan 10 22:47:46 2003
Scrotum | Thrawn | The Common Square | Fri Jan 10 22:52:45 2003
Thrawn | Lyric | At a muddy track | Sat Jan 11 01:33:15 2003
Thrawn | Lyric | At a muddy track | Sat Jan 11 01:34:57 2003
Baelnor | Meurk | At a muddy track | Sat Jan 11 11:18:08 2003
Gnat | Thrawn | The Dracolich's Lair | Sat Jan 11 14:12:13 2003
Icarus | Thrawn | Edge of the Blight | Sat Jan 11 14:47:44 2003
Icarus | Dresith | Inside the Eastern Gate of New Thalos | Sat Jan 11 15:07:22 2003
Dresith | Thrawn | On the Edge of the Downs | Sat Jan 11 15:26:03 2003
Richter | Dresith | Outside the East Gate of Midgaard | Sat Jan 11 15:33:09 2003
Kydan | Dresith | By the Temple Altar | Sat Jan 11 15:35:53 2003
Richter | Dresith | By the Temple Altar | Sat Jan 11 15:42:01 2003
Kydan | Thrawn | A Narrow Trail Through the Foothills | Sat Jan 11 15:42:44 2003
Richter | Kydan | The Tournament and Practice Yard | Sat Jan 11 15:49:54 2003
Teiratiz | Thrawn | Dark hallway | Sat Jan 11 17:19:37 2003
Kydan | Dresith | At a muddy track | Sat Jan 11 18:40:37 2003
Lyric | Dresith | The Main Street | Sat Jan 11 19:26:11 2003
Teiratiz | Thrawn | Steep slope | Sun Jan 12 00:18:27 2003
Fenjah | Thrawn | By the Temple Altar | Sun Jan 12 00:27:21 2003
Lyric | Thrawn | At a muddy track | Sun Jan 12 00:58:08 2003
Roythlar | Lyric | Inside the tent | Sun Jan 12 01:08:33 2003
Vhenkamta | Thrawn | The Jail | Sun Jan 12 02:40:55 2003
Lyric | Thrawn | In the air... | Sun Jan 12 14:27:06 2003
Lyric | Thrawn | At a muddy track | Sun Jan 12 14:40:57 2003
Tiririr | Dresith | The Northeast Corner | Sun Jan 12 16:17:30 2003
Tiririr | Dresith | Archway before the Temple of Chaos | Sun Jan 12 16:24:01 2003
Tiririr | Thrawn | Archway before the Temple of Chaos | Sun Jan 12 17:17:51 2003
Rothgar | Tiririr | The Center of Market Square | Sun Jan 12 17:39:42 2003
Tiririr | Thrawn | The Temple Of Mota | Sun Jan 12 17:51:56 2003
Teiratiz | Synthia | Steep slope | Mon Jan 13 18:32:55 2003
Belrag | Adrosener | The Inner Gates | Mon Jan 13 19:16:00 2003
Gringo | Dresith | At a muddy track | Mon Jan 13 21:14:55 2003
Gringo | Dresith | At a muddy track | Mon Jan 13 21:19:43 2003
Dresith | Gringo | At a muddy track | Mon Jan 13 21:25:39 2003
Belrag | Thrawn | Grassy fields | Mon Jan 13 22:57:28 2003
Tydus | Belrag | Grassy fields | Mon Jan 13 23:04:30 2003
Vhenkamta | Tertalith | On the Plains | Tue Jan 14 03:27:08 2003
Grim | Onyxx | A dark encampment | Tue Jan 14 13:40:49 2003
Ebin | Synthia | Melancholy's Room | Tue Jan 14 15:08:58 2003
Ebin | Synthia | The Throne Room of the Nebula King | Tue Jan 14 15:34:12 2003
Richter | Synthia | West Main Street | Tue Jan 14 15:48:47 2003
Richter | Dalton | Market Square | Tue Jan 14 15:53:53 2003
Karak | Synthia | Southwest Corner of the Courtyard | Tue Jan 14 15:53:58 2003
Synthia | Thrawn | Main Hall | Tue Jan 14 16:08:19 2003
Ebin | Xerxxerzlar | An Office | Tue Jan 14 17:35:11 2003
Xerxxerzlar | Illven | The Pet Shop | Tue Jan 14 17:46:51 2003
Belrag | Thrawn | At a muddy track | Tue Jan 14 18:26:47 2003
Xerxxerzlar | Thrawn | The Holy of Holy's | Tue Jan 14 18:28:01 2003
Icarus | Thrawn | The spellbinder's cache | Wed Jan 15 15:57:35 2003
Thrawn | Viscious | At a muddy track | Wed Jan 15 16:08:52 2003
Penz | Grizerk | The Magic Shop | Wed Jan 15 17:21:38 2003
Prithe | Faerwy | Within the Dying Forest | Thu Jan 16 14:11:15 2003
Antonius | Faerwy | By the Temple Altar | Thu Jan 16 17:09:50 2003
Komoros | Zandar | Before the Tower | Thu Jan 16 18:05:33 2003
Zanidar | Antonius | The Sewer Room | Thu Jan 16 18:25:22 2003
Zandar | Antonius | Melancholy's Room | Thu Jan 16 18:27:34 2003
Antonius | Ebin | Eastern End of Poor Alley | Fri Jan 17 14:59:12 2003
Ebin | Desciple | By the Temple Altar | Fri Jan 17 16:12:54 2003
Ebin | Desciple | Main Street | Fri Jan 17 16:26:09 2003
Marcus | Desciple | An ancient dining hall | Fri Jan 17 17:33:42 2003
Harman | Adrosener | Within the Palace of Dominace | Fri Jan 17 19:49:50 2003
Harman | Desciple | By the Temple Altar | Fri Jan 17 20:01:50 2003
Harman | Desciple | By the Temple Altar | Fri Jan 17 20:15:19 2003
Ebin | Feroph | The Mystical Path | Fri Jan 17 20:58:59 2003
Ebin | Feroph | The Mystical Path | Fri Jan 17 21:15:01 2003
Zandar | Mordith | Wyrm street | Sat Jan 18 13:57:08 2003
Allanon | Dresith | By the Temple Altar | Sat Jan 18 18:07:02 2003
Allanon | Dresith | The Main Street | Sat Jan 18 18:12:31 2003
Allanon | Dresith | The Main Street | Sat Jan 18 18:20:27 2003
Gringo | Mordith | Wall Road | Sat Jan 18 18:32:46 2003
Teiratir | Mordith | A Dark Hallway | Sat Jan 18 18:37:38 2003
Teiratir | Mordith | A hallway in the castle | Sat Jan 18 18:59:11 2003
Antonius | Villizar | The Inner Gates | Sat Jan 18 19:04:36 2003
Teiratir | Nepenthe | The Dark Room | Sat Jan 18 19:12:10 2003
Jarmel | Teiratir | Market Square | Sat Jan 18 19:42:33 2003
Teiratir | Teryx | The Triple Junction | Sat Jan 18 19:44:47 2003
Jarmel | Adrosener | Sepulchure | Sat Jan 18 19:49:33 2003
Teiratir | Adrosener | Top of the Lord's Stairwell | Sat Jan 18 19:53:42 2003
Jarmel | Villizar | Market Square | Sat Jan 18 20:02:08 2003
Dresith | Adrosener | Market Square | Sat Jan 18 20:11:22 2003
Teiratir | Nepenthe | Nabil's Back Room | Sat Jan 18 20:21:15 2003
Dresith | Kraenesk | Market Square | Sat Jan 18 20:27:31 2003
Adolf | Dante | The Magic Shop | Sun Jan 19 02:05:22 2003
Dante | Azuth | Outside the Tower | Sun Jan 19 02:31:25 2003
Dante | Azuth | The Void | Sun Jan 19 02:38:33 2003
Adolf | Azuth | By the Temple Altar | Sun Jan 19 02:41:11 2003
Azuth | Dante | Melancholy's Room | Sun Jan 19 02:44:15 2003
Ethrix | Dante | On the second floor | Sun Jan 19 04:40:18 2003
Dante | Teryx | In a dried out clearing | Sun Jan 19 05:02:48 2003
Dante | Dante | Before a Door Depicting a Large Constellation | Sun Jan 19 05:12:16 2003
Desciple | Marcus | The Throne Room | Sun Jan 19 13:36:41 2003
Xarius | Azuth | Melancholy's Room | Mon Jan 20 01:12:05 2003
Viscious | Ebin | On the Edge of the Downs | Tue Jan 21 11:03:52 2003
Viscious | Ebin | On the Edge of the Downs | Tue Jan 21 11:09:20 2003
Raekwon | Ebin | Outside the Tower | Tue Jan 21 11:15:15 2003
Viscious | Ebin | Before the Gates of Midgaard | Tue Jan 21 11:17:31 2003
Icarus | Ebin | Market Square | Tue Jan 21 13:48:48 2003
Viscious | Ebin | On the Edge of the Downs | Tue Jan 21 13:50:52 2003
Aviset | Sincere | Solomon Street | Tue Jan 21 18:19:37 2003
Sycho | Synthia | The Mystical Path | Wed Jan 22 14:42:38 2003
Sincere | Synthia | Too Bright to Tell | Wed Jan 22 14:46:05 2003
Teiratir | Graiken | Below the stagnant pool | Thu Jan 23 23:57:00 2003
Wrath | Pahrker | By the Temple Altar | Fri Jan 24 06:00:09 2003
Aalandir | Pahrker | The Temple Square | Fri Jan 24 06:30:39 2003
Essobi | Synthia | The Shed | Fri Jan 24 13:47:44 2003
Kholadrin | BigJay | The Main Street | Fri Jan 24 17:43:20 2003
Synthia | Synthia | A Hallway | Fri Jan 24 17:43:21 2003
BigJay | Adrosener | The Entrance Hall | Fri Jan 24 17:45:53 2003
Khladrin | Adrosener | The Temple Square | Fri Jan 24 17:50:49 2003
GayKin | Adrosener | The Temple Of Mota | Sat Jan 25 12:33:39 2003
GayKin | Adrosener | The Common Square | Sat Jan 25 12:38:10 2003
Illven | Adrosener | The Common Square | Sat Jan 25 12:38:17 2003
GayKin | Adrosener | The Common Square | Sat Jan 25 12:41:06 2003
GayKin | Adrosener | The Common Square | Sat Jan 25 12:44:42 2003
Gaykin | Dustyn | By the Temple Altar | Sat Jan 25 12:56:07 2003
GayRolland | Dustyn | By the Temple Altar | Sun Jan 26 17:21:39 2003
Sucerian | Korid | Market Square | Sun Jan 26 17:58:15 2003
Korid | Adrosener | The Entrance | Sun Jan 26 18:02:27 2003
Sucerian | Adrosener | The Temple Of Mota | Sun Jan 26 18:23:45 2003
Korid | Adrosener | By the Temple Altar | Sun Jan 26 18:32:38 2003
Korid | Adrosener | By the Temple Altar | Sun Jan 26 18:38:01 2003
Kelset | Graiken | On the Bridge of Nebulae | Mon Jan 27 01:52:13 2003
Feroph | Graiken | Black Hole | Mon Jan 27 01:55:22 2003
Raekwon | Kelset | A small room. | Mon Jan 27 16:58:11 2003
Rothgar | Graiken | On a small wooden watch-tower | Mon Jan 27 23:23:09 2003
Teiratir | Graiken | Market Square | Tue Jan 28 00:48:43 2003
Dahmer | Teiratir | Swamp's Edge | Tue Jan 28 00:53:31 2003
Teiratir | Graiken | Swamp's Edge | Tue Jan 28 00:54:17 2003
Teiratir | Dahmer | Wall Road | Tue Jan 28 01:28:59 2003
Bleeder | Dahmer | The Temple Square | Tue Jan 28 03:19:46 2003
Pahrker | Graiken | Lich's Study | Tue Jan 28 06:19:39 2003
Ezyntari | Ezyntari | The Temple Square | Tue Jan 28 06:50:50 2003
Sarane | Sarane | Bloody fields | Tue Jan 28 15:17:13 2003
Teleport | Teleport | On the Neck of Draco | Sun Feb  9 16:06:12 2003
Rinaldi | Aalandir | By the Temple Altar | Mon Feb 10 23:12:12 2003
Rinaldi | Elrith | Main Street | Mon Feb 10 23:36:56 2003
Kensiko | Kensiko | By the Temple Altar | Tue Feb 18 15:12:40 2003
Kensiko | Solidus | The Blight | Tue Feb 18 15:21:06 2003
Kelset | Synthia | Melancholy's Room | Tue Feb 18 19:26:22 2003
Kelset | Destilnon | By the Temple Altar | Tue Feb 18 20:06:33 2003
Sycho | Kelset | Market Square | Tue Feb 18 20:31:42 2003
Gibberd | Kelset | Market Square | Tue Feb 18 20:32:18 2003
Kelset | Bylak | Market Square | Tue Feb 18 20:37:20 2003
Bylak | Banderos | Pushing your way into the forest | Tue Feb 18 21:00:47 2003
Brakken | Banderos | Labyrinth of the Underworld | Tue Feb 18 22:13:49 2003
Allanon | Solidus | By the Temple Altar | Tue Feb 18 22:37:18 2003
Testing | Testing | Detlef's Pot House | Tue Feb 18 23:26:42 2003
Testing | Testing | Detlef's Pot House | Tue Feb 18 23:42:46 2003
Testing | Testing | Detlef's Pot House | Tue Feb 18 23:44:58 2003
Testing | Testing | Detlef's Pot House | Tue Feb 18 23:45:23 2003
Testing | Testing | Detlef's Pot House | Tue Feb 18 23:45:48 2003
Testing | Testing | Detlef's Pot House | Tue Feb 18 23:48:08 2003
Fhaed | Zornath | Main Street | Wed Feb 19 01:35:39 2003
Katis | Zornath | The sewer junction | Wed Feb 19 01:38:55 2003
Katis | Fhaed | The Cross Roads | Wed Feb 19 01:50:14 2003
Trofik | Fhaed | Market Square | Wed Feb 19 01:56:18 2003
Trofik | Zornath | Market Square | Wed Feb 19 01:58:47 2003
MierdaMuerta | Graiken | The Main Street | Wed Feb 19 02:06:19 2003
Fhaed | Graiken | The Main Street | Wed Feb 19 02:06:28 2003
Fhaed | Graiken | Market Square | Wed Feb 19 02:11:12 2003
Griltarn | Zornath | Inside the East Gate of Midgaard | Wed Feb 19 02:13:50 2003
Testing | Testing | First Room To The Begining Of Your New Life | Wed Feb 19 08:26:06 2003
Testing | Testing | First Room To The Begining Of Your New Life | Wed Feb 19 08:48:01 2003
Testing | Testing | First Room To The Begining Of Your New Life | Wed Feb 19 09:04:23 2003
Tester | Tester | Inside the Temple | Wed Feb 19 09:13:16 2003
Torin | Solidus | An Acolyte's Chambers | Wed Feb 19 12:55:38 2003
Tumark | Cyric | The Temple Square | Wed Feb 19 15:32:23 2003
Cyric | Tumark | The Temple Square | Wed Feb 19 15:32:39 2003
Allanon | Banderos | Room | Wed Feb 19 17:34:51 2003
Xarius | Solidus | Market Square | Wed Feb 19 20:07:53 2003
Tumark | Solidus | Market Square | Wed Feb 19 20:25:18 2003
Korran | Banderos | In the air... | Wed Feb 19 20:26:50 2003
Gamache | Solidus | The south gate | Wed Feb 19 20:44:04 2003
Korran | Tumark | By the Temple Altar | Wed Feb 19 20:45:16 2003
Ezyntari | Banderos | Deep in the Arkham swamps | Wed Feb 19 20:55:52 2003
Korran | Banderos | Entrance to Mud School | Wed Feb 19 21:00:23 2003
Fhaed | Fordus | Small path in the park | Wed Feb 19 21:00:37 2003
Gamache | Ezyntari | Small path in the park | Wed Feb 19 21:00:46 2003
Ezyntari | Banderos | By the Temple Altar | Wed Feb 19 21:01:42 2003
Slarith | Korran | Market Square | Wed Feb 19 21:57:57 2003
Slarith | Fordus | Market Square | Wed Feb 19 22:13:53 2003
Calir | Banderos | The Temple Of Mota | Wed Feb 19 22:25:49 2003
Ezyntari | Fordus | By the Temple Altar | Wed Feb 19 22:42:55 2003
Korran | Mierdamuerta | Common Square | Wed Feb 19 22:52:04 2003
Calir | Banderos | Market Square | Wed Feb 19 23:09:22 2003
Slarith | Fordus | Market Square | Wed Feb 19 23:53:27 2003
Thomas | Slarith | Inside the Northern Gate of New Thalos | Thu Feb 20 00:15:11 2003
Slarith | Banderos | Nabil's Back Room | Thu Feb 20 00:20:44 2003
Mierdamuerta | Banderos | Nabil's Back Room | Thu Feb 20 00:28:23 2003
Slarith | Zposlasfinas | The Grand Gate of Thalos | Thu Feb 20 00:36:03 2003
Zposlasfinas | Slarith | By the Temple Altar | Thu Feb 20 00:38:35 2003
Mierdamuerta | Slarith | Harem | Thu Feb 20 00:58:33 2003
Clovis | Slarith | On the Threshold of the Foothills of Mount Cim | Thu Feb 20 01:12:56 2003
Julien | Zposlasfinas | In a dark forest | Thu Feb 20 05:48:24 2003
Clovis | Zposlasfinas | A waiting room | Thu Feb 20 06:06:05 2003
Graiken | Graiken | East Wall of Arena | Thu Feb 20 06:20:52 2003
Gankie | Zposlasfinas | By the Temple Altar | Thu Feb 20 06:51:39 2003
Zposlasfinas | Zposlasfinas | By the Temple Altar | Thu Feb 20 07:23:44 2003
Gankie | Zposlasfinas | By the Temple Altar | Thu Feb 20 07:25:50 2003
Gamache | Ilnait | By the Temple Altar | Thu Feb 20 16:49:02 2003
Gamache | Ilnait | By the Temple Altar | Thu Feb 20 17:00:05 2003
Ilnait | Ilnait | A stream of consciousness | Thu Feb 20 17:04:51 2003
Syther | Paku | the mountain trail | Thu Feb 20 17:12:28 2003
Syther | Fordus | Market Square | Thu Feb 20 17:58:56 2003
Destilnon | Syther | A trail in the dwarf forest | Thu Feb 20 18:14:29 2003
Mierdamuerta | Kardon | Above a Pit | Thu Feb 20 19:41:31 2003
Fordus | Fordus | Rough Path Between the Hills | Thu Feb 20 20:07:34 2003
Opopas | Opopas | The Lane | Thu Feb 20 20:15:06 2003
Calir | Fordus | By the Temple Altar | Thu Feb 20 23:43:27 2003
Zornath | Banderos | The city streets | Fri Feb 21 00:18:10 2003
Treggar | Slarith | By the Temple Altar | Fri Feb 21 00:29:13 2003
Treggar | Banderos | The Cross Roads | Fri Feb 21 00:35:16 2003
Slarith | Zornath | The Cross Roads | Fri Feb 21 00:40:48 2003
Treggar | Zornath | Village road | Fri Feb 21 00:43:12 2003
Treggar | Zornath | Village road | Fri Feb 21 00:43:39 2003
Treggar | Karok | Grassy fields | Fri Feb 21 00:45:28 2003
Delm | Delm | A Large Hall | Fri Feb 21 00:59:49 2003
Delm | Zornath | The Cross Roads | Fri Feb 21 01:09:15 2003
Slarith | Slarith | Diamond Street | Fri Feb 21 01:13:04 2003
Musfasa | Karok | A Storage Room | Fri Feb 21 01:38:27 2003
Illtrastin | Zornath | The Kitchen | Fri Feb 21 01:47:17 2003
Musfasa | Zornath | The Kitchen | Fri Feb 21 01:48:21 2003
Zornath | Zornath | The Main Street | Fri Feb 21 01:51:40 2003
Grertzi | Grertzi | Entering the village | Fri Feb 21 02:14:43 2003
Berintal | Berintal | The village shrine | Fri Feb 21 02:27:34 2003
Grertzi | Slarith | By the beautiful waterfall | Fri Feb 21 02:34:43 2003
Berintal | Firinath | At a muddy track | Fri Feb 21 02:55:58 2003
Slarith | Zornath | Grassy fields | Fri Feb 21 02:56:31 2003
Grertzi | Slarith | A trail in the dwarf forest | Fri Feb 21 02:57:53 2003
Firinath | Zornath | On the second floor | Fri Feb 21 03:11:11 2003
Karok | Karok | The village shrine | Fri Feb 21 03:55:47 2003
Bonza | Hodorie | Grassy fields | Fri Feb 21 03:59:49 2003
Xarius | Karok | At a muddy track | Fri Feb 21 04:02:39 2003
Darnel | Karok | By the beautiful waterfall | Fri Feb 21 04:28:58 2003
Katistrofik | Katistrofik | The Mystical Path | Fri Feb 21 12:56:21 2003
Paku | Kardon | The dwarf forest | Fri Feb 21 13:06:16 2003
Katistrofik | Shalbane | By the Temple Altar | Fri Feb 21 13:30:29 2003
Carlos | Carlos | A small alcove | Fri Feb 21 14:51:23 2003
Katistrofik | Slarith | An Edge of the Galaxy | Fri Feb 21 15:51:19 2003
Kincaid | Banderos | Inside the East Gate of Midgaard | Fri Feb 21 16:35:04 2003
Syther | Banderos | On the second floor | Fri Feb 21 17:11:56 2003
Jahrewl | Banderos | On the second floor | Fri Feb 21 17:14:28 2003
Fuhrman | Banderos | The Grunting Boar | Fri Feb 21 18:04:59 2003
Shalbane | Zornath | The dwarf forest | Fri Feb 21 20:08:53 2003
Kardon | Banderos | Standing on a beach. | Fri Feb 21 20:56:24 2003
Gauvan | Vaerzlithar | The Western Market Square | Fri Feb 21 22:21:33 2003
Gamache | Gamache | West Main Street | Fri Feb 21 22:23:04 2003
Musfasa | Zornath | The Temple Of Mota | Fri Feb 21 23:50:03 2003
Musfasa | Karok | The Cross Roads | Fri Feb 21 23:55:32 2003
Malcius | Zornath | The Cross Roads | Fri Feb 21 23:56:41 2003
Musfasa | Zornath | The Cross Roads | Fri Feb 21 23:58:24 2003
Zornath | Vaerzlithar | The chapel | Fri Feb 21 23:59:25 2003
Musfasa | Faunus | By the beautiful waterfall | Sat Feb 22 00:00:32 2003
Faunus | Faunus | By the beautiful waterfall | Sat Feb 22 00:01:20 2003
Gilbert | Gamache | Entering the village | Sat Feb 22 00:10:17 2003
Musfasa | Zornath | The dwarf forest | Sat Feb 22 00:10:30 2003
Zornath | Vaerzlithar | The dwarf forest | Sat Feb 22 00:11:18 2003
Musfasa | Karok | At a muddy track | Sat Feb 22 00:18:56 2003
Gamache | Gamache | The dwarf forest | Sat Feb 22 00:20:16 2003
Musfasa | Karok | At a muddy track | Sat Feb 22 00:21:42 2003
Musfasa | Zornath | At a muddy track | Sat Feb 22 00:22:34 2003
Musfasa | Karok | Grassy fields | Sat Feb 22 00:24:09 2003
Musfasa | Karok | The brawling balcony | Sat Feb 22 00:29:12 2003
Musfasa | Gamache | Grassy fields | Sat Feb 22 00:29:51 2003
Musfasa | Zornath | Room of Laws | Sat Feb 22 00:48:25 2003
Malcius | Gamache | By the Temple Altar | Sat Feb 22 00:53:53 2003
Musfasa | Zornath | Grassy fields | Sat Feb 22 01:04:32 2003
Mogar | Gamache | In the air... | Sat Feb 22 01:13:05 2003
Zornath | Karok | Entering the village | Sat Feb 22 01:38:46 2003
Hodorie | Karok | Outside the West Gate of New Thalos | Sat Feb 22 01:41:35 2003
Gankie | Gamache | At a muddy track | Sat Feb 22 01:45:11 2003
Zornath | Karok | Entering the village | Sat Feb 22 02:17:34 2003
Vejure | Vejure | The Misty Room | Sat Feb 22 04:27:24 2003
Faunus | Vaerzlithar | The Temple Square | Sat Feb 22 06:39:00 2003
Faunus | Vaerzlithar | A large wooden hut | Sat Feb 22 06:54:45 2003
Bonza | Vaerzlithar | At a muddy track | Sat Feb 22 07:13:12 2003
Gankie | Gankie | Wall Road | Sat Feb 22 07:22:34 2003
Destilnon | Vaerzlithar | Small path in the park | Sat Feb 22 07:34:45 2003
Hodorie | Hodorie | Near the Sands of Sorrow | Sat Feb 22 08:14:28 2003
Gamache | Venristo | The village shrine | Sat Feb 22 13:18:29 2003
Seindal | Gamache | By the beautiful waterfall | Sat Feb 22 13:27:55 2003
Vladamir | Sycho | Fourth Level | Sat Feb 22 13:33:34 2003
Kardon | Seindal |  | Sat Feb 22 14:14:50 2003
Cerophin | Seindal | The Arena | Sat Feb 22 14:31:38 2003
Cerophin | Kardon | At a muddy track | Sat Feb 22 15:03:17 2003
Gamache | Banner | The dwarf forest | Sat Feb 22 15:34:21 2003
Gamache | Gamache | Village road | Sat Feb 22 15:59:56 2003
Darantin | Venristo | The Dark Alley | Sat Feb 22 16:26:27 2003
Darantin | Shalbane | A valley in the dark dwarf forest | Sat Feb 22 16:36:56 2003
Magnum | Marijuana | The village shrine | Sat Feb 22 16:53:02 2003
Daedelex | Banderos | Nabil's Back Room | Sat Feb 22 17:20:56 2003
Firinath | Darantin | The Valley in the dark dwarf forest | Sat Feb 22 17:39:04 2003
Darantin | Kardon | At a muddy track | Sat Feb 22 17:58:23 2003
Eldgrim | Manga | The dwarf forest | Sat Feb 22 19:06:15 2003
Zornath | Banderos | A hallway in the castle | Sat Feb 22 20:27:31 2003
Slarith | Gamache | Forge entrance | Sat Feb 22 20:30:54 2003
Bruce | Zornath | A trail in the dwarf forest | Sat Feb 22 20:45:47 2003
Fhaed | Banderos | Inside the Great Hall | Sat Feb 22 23:45:47 2003
Darnel | Banderos | Market Square | Sun Feb 23 00:57:47 2003
Darnel | Zornath | The Flickering Tunnel | Sun Feb 23 01:13:45 2003
Banner | Zornath | A Dank Tunnel | Sun Feb 23 01:15:59 2003
Banner | Zornath | Entering the village | Sun Feb 23 01:26:33 2003
